log name	QR[raw data]:	QR[count]	QR[total_time]	AR[pixelperM]	AR[count]	AR[total_time]	AR[target_pos]	AR[target_point(xy plane)]	AR[Robot Position]	x_error	y_error	total_error	PointA_time	Snapshot_time	Mission_time	
"moved a adjust offset t3"	" {"p":2,"x":11.09,"y":-9.80,"z":5.24}"	"  2"	"  11400"	" 708.766468930744"	" 1"	"  6637"	" 0.19062608196438535, -0.46046907965679584"	" 0.785, -0.36746907965679587"	" 11.141626081964386, -32.44934585472351"	-0.31537417999999995	-0.500544576	0.592932827	00:44.384000	01:13.232000	02:03.088000
"moved a adjust offset t2"	" {"p":6,"x":11.05,"y":-9.80,"z":5.49}"	"  2"	"  12112"	" 711.8171585825509"	" 1"	"  4796"	" 0.1633386287687523, -0.4631508504769463"	" 0.785, -0.3701508504769463"	" 11.114338628768753, -32.59996036165274"	-0.6429740939999999	-0.08516643500000001	0.649125234	00:46.616000	01:17.080000	02:08.072000
"moved a adjust offset v2 t1"	" {"p":1,"x":11.39,"y":-9.80,"z":5.21}"	"  1"	"  6012"	" 700.9380999067708"	" 1"	"  8237"	" 0.20032343188761934, -0.47678218313474346"	" 0.785, -0.38278218313474344"	" 11.15632343188762, -33.30325771869117"	-2.2211993469999998	-0.8131376319999999	2.365552278	00:37.456000	01:07.896000	02:02.008000
"moved a adjust offset v2 t2"	" {"p":2,"x":11.11,"y":-9.80,"z":5.23}"	"  2"	"  9528"	" 710.9521378434875"	" 1"	"  4407"	" 0.19603408188928856, -0.4342445897726036"	" 0.785, -0.34024458977260363"	" 11.152034081889289, -30.89473578124641"	0.022841029	-0.4086885290000001	0.4093354400000001	00:42.848000	01:11.288000	02:06.080000
"moved a adjust offset v2 - 3s delay t1"	" {"p":5,"x":11.13,"y":-9.80,"z":5.45}"	"  1"	"  6826"	" 694.5179645043914"	" 1"	"  12020"	" 0.16440528868697787, -0.44417714416158904"	" 0.785, -0.35017714416158907"	" 11.120405288686978, -31.467310963029426"	-4.764888166	-1.1363529749999999	4.898526457000001	00:40.408000	01:15.720000	02:07.176000
"moved a adjust offset v2 - 3s delay t5"	" {"p":8,"x":11.29,"y":-9.80,"z":5.24}"	"  4"	"  15368"	" 711.7993820935579"	" 1"	"  9192"	" 0.17081374922970105, -0.4170024822856593"	" 0.785, -0.3230024822856593"	" 11.126813749229703, -29.886173795715795"	-0.048908546	-0.11876558899999998	0.12993997799999998	00:47.016000	01:17.840000	02:10.160000
"moved a adjust offset v2 - 3s delay t4"	" {"p":8,"x":11.28,"y":-9.80,"z":5.25}"	"  3"	"  10641"	" 711.0713852782341"	" 1"	"  6194"	" 0.14911249015804043, -0.44201557928893065"	" 0.785, -0.3480155792889307"	" 11.10511249015804, -31.34323086075651"	-0.22634488800000002	0.14360256200000002	0.268220402	00:42.224000	01:09.352000	02:00.688000
"moved a adjust offset v2 - 3s delay t3"	" {"p":7,"x":11.26,"y":-9.80,"z":5.47}"	"  1"	"  8065"	" 712.4538315466965"	" 2"	"  13788"	" 0.151012999832799, -0.44980602012588194"	" 0.785, -0.3558060201258819"	" 11.107012999832799, -31.789048375971955"	-0.09610763800000002	0.149563657	0.177954051	00:36.488000	01:11.504000	02:04.632000
"moved a adjust offset v2 - 3s delay t7"	" {"p":5,"x":11.11,"y":-9.80,"z":5.49}"	"  2"	"  8222"	" 692.9301349382082"	" 1"	"  8123"	" 0.12272155568674883, -0.4946878775251963"	" 0.785, -0.4006878775251963"	" 11.07872155568675, -34.28293668806544"	-7.430698199999999	-1.536763811	7.587978291000001	00:37.216000	01:05.944000	01:53.608000
"moved a adjust offset v2 - 3s delay t2"	" {"p":1,"x":11.31,"y":-9.80,"z":5.25}"	"  2"	"  12094"	" 708.5056199356076"	" 1"	"  12296"	" 0.19018981010856773, -0.44939942682412365"	" 0.785, -0.3553994268241236"	" 11.146189810108568, -31.765874870493676"	-0.07721402699999999	-0.44804513999999995	0.4547124779999999	00:45.792000	01:22.512000	02:12.960000
"moved a adjust offset v2 - 3s delay t6"	" {"p":8,"x":11.25,"y":-9.80,"z":5.24}"	"  2"	"  9738"	" 710.0136460361831"	" 1"	"  817"	" 0.1471480066984454, -0.467832970715887"	" 0.785, -0.37383297071588695"	" 11.103148006698445, -32.8060172815403"	-0.149731224	-0.08883395300000001	0.17653729199999998	00:40.416000	01:00.448000	01:50.344000
"moved a adjust offset v3 t4"	" {"p":8,"x":11.24,"y":-9.80,"z":5.22}"	"  1"	"  7266"	" 713.4545029185041"	" 1"	"  11640"	" 0.14960312544376386, -0.4415444089042694"	" 0.785, -0.3475444089042694"	" 11.107603125443765, -31.316145417015328"	0.06081658999999999	0.15984015999999998	0.173868686	00:38.768000	01:10.176000	01:58.656000
"moved a adjust offset v3 t3"	" {"p":4,"x":11.05,"y":-9.80,"z":5.21}"	"  3"	"  13449"	" 713.0918015078931"	" 1"	"  7600"	" 0.16418232278268804, -0.41808866207488415"	" 0.785, -0.3240886620748842"	" 11.122182322782688, -29.950253847871203"	0.101190209	-0.016673712	0.105232365	00:43.408000	01:11.488000	02:02.216000
"moved a adjust offset v3 t1"	" {"p":6,"x":11.04,"y":-9.80,"z":5.45}"	"  3"	"  11758"	" 711.2341965551049"	" 1"	"  7137"	" 0.1550907048198253, -0.41725504948002806"	" 0.785, -0.32325504948002803"	" 11.113090704819825, -29.901080716311366"	0.088079867	-0.088228394	0.124908624	00:41.720000	01:08.720000	01:59.496000
"moved a adjust offset v3 t2"	" {"p":3,"x":11.08,"y":-9.80,"z":5.29}"	"  2"	"  8388"	" 684.4319813783171"	" 1"	"  6317"	" 0.10473545040259653, -0.49432751001431313"	" 0.785, -0.4003275100143131"	" 11.062735450402597, -34.26341982475968"	-9.146627229	-2.6236462119999997	9.515499267000001	00:38.608000	01:05.624000	01:53.952000
"moved a adjust offset v3 t6"	" {"p":8,"x":11.27,"y":-9.80,"z":5.26}"	"  2"	"  8284"	" 707.5729264680605"	" 2"	"  11012"	" 0.16027739259566642, -0.46718368659238707"	" 0.785, -0.3731836865923871"	" 11.118277392595667, -32.76974454829846"	0.09736219500000001	-0.278473296	0.295248591	00:37.368000	01:09.016000	01:59.784000
